Time(s) Residual_Strain
2.71254251e-02 1.63363485e-25
2.71654331e-02 1.73741444e-25
2.72054411e-02 1.83170704e-25
2.72454491e-02 1.91593716e-25
2.72854571e-02 1.98958435e-25
2.73254651e-02 2.05218643e-25
2.73654731e-02 2.10334228e-25
2.74054811e-02 2.14271444e-25
2.74454891e-02 2.17003126e-25
2.74854971e-02 2.18508870e-25
2.75255051e-02 2.18775179e-25
2.75655131e-02 2.17795568e-25
2.76055211e-02 2.15570624e-25
2.76455291e-02 2.12108037e-25
2.76855371e-02 2.07422582e-25
2.77255451e-02 2.01536064e-25
2.77655531e-02 1.94477220e-25
2.78055611e-02 1.86281584e-25
2.78455691e-02 1.76991314e-25
2.78855771e-02 1.66654974e-25
2.79255851e-02 1.55327287e-25
2.79655931e-02 1.43068845e-25
2.80056011e-02 1.29945789e-25
2.80456091e-02 1.16029451e-25
2.80856171e-02 1.01395973e-25
2.81256251e-02 8.61258885e-26
2.81656331e-02 7.03036835e-26
2.82056411e-02 5.40173288e-26
2.82456491e-02 3.73577937e-26
2.82856571e-02 2.04185393e-26
2.83256651e-02 3.29499559e-27
2.83656731e-02 -1.39159742e-26
2.84056811e-02 -3.11166204e-26
2.84456891e-02 -4.82088603e-26
2.84856971e-02 -6.50948358e-26
2.85257051e-02 -8.16774724e-26
2.85657131e-02 -9.78610351e-26
2.86057211e-02 -1.13551680e-25
2.86457291e-02 -1.28657997e-25
2.86857371e-02 -1.43091539e-25
2.87257451e-02 -1.56767340e-25
2.87657532e-02 -1.69604412e-25
2.88057612e-02 -1.81526224e-25
2.88457692e-02 -1.92461153e-25
2.88857772e-02 -2.02342916e-25
2.89257852e-02 -2.11110966e-25
2.89657932e-02 -2.18710861e-25
2.90058012e-02 -2.25094601e-25
2.90458092e-02 -2.30220924e-25
2.90858172e-02 -2.34055569e-25
2.91258252e-02 -2.36571501e-25
2.91658332e-02 -2.37749094e-25
2.92058412e-02 -2.37576270e-25
2.92458492e-02 -2.36048600e-25
2.92858572e-02 -2.33169362e-25
2.93258652e-02 -2.28949548e-25
2.93658732e-02 -2.23407835e-25
2.94058812e-02 -2.16570513e-25
2.94458892e-02 -2.08471359e-25
2.94858972e-02 -1.99151478e-25
2.95259052e-02 -1.88659099e-25
2.95659132e-02 -1.77049327e-25
2.96059212e-02 -1.64383857e-25
2.96459292e-02 -1.50730647e-25
2.96859372e-02 -1.36163560e-25
